mu	singleton_count	variant_count	proportion_singletons
9.1862e-10	3806	6094	0.62454873
9.4166e-10	2493	3965	0.6287516
9.4450e-10	1616	2632	0.6139818
1.0244e-09	1181	2041	0.5786379
1.0495e-09	1213	2049	0.5919961
1.0670e-09	1025	1625	0.63076925
1.0799e-09	3290	5236	0.6283423
1.0818e-09	2536	4070	0.6230958
1.0943e-09	484	816	0.59313726
1.1340e-09	4260	6848	0.62207943
1.1486e-09	1210	1966	0.61546284
1.1632e-09	9215	15109	0.60990137
1.1890e-09	693	1169	0.5928144
1.2103e-09	2504	4123	0.6073248
1.2532e-09	6374	10624	0.59996235
1.3516e-09	2009	3294	0.6098968
1.3560e-09	360	592	0.6081081
1.3911e-09	405	658	0.6155015
1.4118e-09	3631	5994	0.60577244
1.4983e-09	4226	6905	0.61202025
1.6210e-09	15924	26474	0.6014958
1.6675e-09	6082	10114	0.60134465
1.7092e-09	4014	6765	0.5933481
1.7760e-09	14071	23635	0.5953459
1.8172e-09	2073	3346	0.6195457
1.8303e-09	1106	1838	0.601741
1.8485e-09	5163	8976	0.57520056
1.8684e-09	1704	2764	0.6164978
1.8687e-09	892	1428	0.6246499
1.9615e-09	5667	9501	0.5964635
2.0008e-09	1753	2936	0.5970709
2.0022e-09	2735	4615	0.5926327
2.1414e-09	8615	14544	0.59234047
2.1462e-09	11184	19222	0.5818333
2.2808e-09	4171	6919	0.6028328
2.3044e-09	2215	3733	0.59335655
2.3099e-09	7298	12224	0.59702224
2.3466e-09	3154	5203	0.6061887
2.3710e-09	3482	5894	0.5907703
2.4639e-09	888	1459	0.6086361
2.5440e-09	6516	11039	0.5902709
2.5995e-09	7803	13252	0.58881676
2.6557e-09	3192	5385	0.59275764
2.6842e-09	8704	14833	0.5867997
2.9242e-09	1103	1894	0.5823654
2.9409e-09	2744	4571	0.6003063
3.0181e-09	9445	16332	0.5783125
3.0275e-09	9922	17547	0.56545275
3.0288e-09	16823	29868	0.56324494
3.1245e-09	13871	23396	0.5928791
3.2054e-09	12958	22199	0.58371997
3.3394e-09	8139	14144	0.5754383
3.5919e-09	5440	9499	0.57269186
3.7538e-09	6411	11092	0.57798415
3.8238e-09	19433	34418	0.56461734
3.9291e-09	26348	46268	0.56946486
3.9695e-09	4603	8053	0.5715882
4.1342e-09	10535	18657	0.5646674
4.2353e-09	7691	13286	0.57888
4.9426e-09	1909	3549	0.537898
5.0796e-09	20720	37594	0.55115175
5.1503e-09	6877	12130	0.56694144
5.1781e-09	12133	21610	0.56145304
5.1901e-09	13206	24078	0.54846746
5.2348e-09	40691	73402	0.5543582
5.2457e-09	16143	30716	0.5255567
5.3443e-09	9495	16780	0.5658522
5.3627e-09	13434	25149	0.5341763
5.5213e-09	3863	7101	0.5440079
5.5597e-09	41177	72882	0.56498176
5.7034e-09	1704	3046	0.5594222
5.7989e-09	34620	61985	0.5585222
6.1812e-09	8852	16453	0.5380174
6.6879e-09	3663	6603	0.5547478
6.7244e-09	50759	90477	0.5610155
6.8845e-09	33165	59500	0.557395
7.6664e-09	29998	55733	0.53824484
7.7544e-09	19712	40366	0.48833176
7.7891e-09	47273	86148	0.5487417
7.9566e-09	34675	63522	0.5458739
8.1422e-09	62811	115198	0.54524386
8.5724e-09	33728	62872	0.53645504
8.6359e-09	26163	49230	0.53144425
8.8520e-09	11271	21359	0.5276933
9.3201e-09	38874	72093	0.53922015
9.9720e-09	26933	51028	0.52780825
1.1196e-08	16273	32991	0.49325573
1.1275e-08	42124	83803	0.502655
1.4846e-08	2685	6086	0.44117647
1.9329e-08	1591	3563	0.44653383
2.0993e-08	3977	9339	0.4258486
2.6612e-08	1972	4677	0.4216378
7.0178e-08	1087	3595	0.3023644
7.2389e-08	754	2957	0.25498816
8.2387e-08	1542	6078	0.25370187
1.0005e-07	10137	70814	0.14314966
1.0750e-07	1042	5162	0.20185974
1.2296e-07	10063	82145	0.12250289
1.2483e-07	12522	123266	0.10158519
1.4169e-07	8016	91639	0.087473676
